Agency, Open, Closed, On-Hold
Arts and Venues,0,1,0
Aviation - DIA,97,939,0
City Council,0,1,0
Clerk & Recorder,0,1343,0
Comm Plan & Dev,2317,12450,0
County Court,1,6,0
Denver Art Museum,0,2,0
Denver Public Library,0,1,0
Denver Water,0,3,0
DPS,0,4,0
Economic Dev,0,2,0
Env Health,1670,10234,0
Excise&License,9,377,0
Finance,2,626,0
Human Resources(OHR),3,5,0
Human Rights,0,1,0
Indep Monitor,0,3,0
Law,0,2,0
Mayors Office,424,293,0
Parks and Rec,57,641,0
Public Works,2444,21122,1
Safety,6,167,0
Tech Services,122,3469,0
